,benchmark,target,total_iterations,threads,messages,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,eating_rounds,philosophers,workers,precision,haircuts,waiting_room_size,production_rate,haircut_rate,actors,data_length,block_threshold,priorities,terms,series,start_rate,num_workers,block_size,max_edge_weight,rounds,smokers,messages_per_worker,write_percentage,size,threshold,solution_limit,pieces,left,right,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,columns,simulations,channels,accounts,transactions,data_size,max_value,seed,grid_size,pings,size_percentage
39,Radix Sort,lf-cpp,12,4,,master,[],default,473.502,525.971,509.40549999999996,504.50849999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
40,Ping Pong,lf-cpp,12,4,,master,[],default,151.807,156.233,153.7935,153.96175000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
41,Fork Join (throughput),lf-cpp,12,4,10000.0,master,[],default,32.2893,35.6702,33.3421,33.45226666666667,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Fork Join (throughput),lf-cpp,12,9,10000.0,master,[],default,33.0978,36.7533,33.465,34.034075,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Trapezoidal Approximation,lf-cpp,12,18,,master,[],default,78.9323,82.7661,81.82105,81.58050833333333,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
44,Trapezoidal Approximation,lf-cpp,12,9,,master,[],default,81.9444,86.8626,83.70525,83.88106666666667,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
45,Recursive Matrix Multiplication,lf-cpp,12,18,,master,[],default,97.8798,104.468,100.6935,101.07406666666668,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Concurrent Dictionary,lf-cpp,12,9,,master,[],default,98.3831,117.165,108.56450000000001,107.944925,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
47,Big,lf-cpp,12,9,500.0,master,[],default,304.841,329.714,321.46000000000004,319.51933333333335,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,All-Pairs Shortest Path,lf-cpp,12,18,,master,[],default,401.132,448.643,423.08299999999997,425.0278333333333,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Ping Pong,lf-cpp,12,9,,master,[],default,165.087,173.204,166.3345,167.82758333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
50,Concurrent Sorted Linked List,lf-cpp,12,18,,master,[],default,237.79,344.276,256.0875,262.90416666666664,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
51,Producer Consumer (bounded),lf-cpp,12,4,,master,[],default,197.32,221.435,209.555,209.17641666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
52,A-Star Search,lf-cpp,12,18,,master,[],default,103.788,652.185,529.777,513.7481666666666,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
53,Big,lf-cpp,12,18,500.0,master,[],default,315.045,337.744,323.2065,324.1485833333333,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Big,lf-cpp,12,2,500.0,master,[],default,233.006,252.792,239.877,240.49125,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Philosophers,lf-cpp,12,9,,master,[],default,95.4107,104.86,101.5565,100.82260833333332,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,NQueens first N solutions,lf-cpp,12,9,,master,[],default,485.108,531.496,497.153,501.0476666666666,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
57,Thread Ring,lf-cpp,12,18,,master,[],default,219.221,225.96,221.85899999999998,221.83475,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
58,Concurrent Sorted Linked List,lf-cpp,12,9,,master,[],default,239.88,335.886,249.20499999999998,259.14933333333335,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
59,Trapezoidal Approximation,lf-cpp,12,4,,master,[],default,83.2851,85.8865,84.06094999999999,84.23372499999999,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
60,Filter Bank,lf-cpp,12,9,,master,[],default,328.52,351.322,337.64099999999996,338.6913333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
61,Philosophers,lf-cpp,12,18,,master,[],default,99.0043,107.871,104.19200000000001,103.906025,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sleeping Barber,lf-cpp,12,18,,master,[],default,108.577,122.25,110.9805,113.13324999999999,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,All-Pairs Shortest Path,lf-cpp,12,9,,master,[],default,465.948,501.399,481.4075,483.1093333333333,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Thread Ring,lf-cpp,12,2,,master,[],default,205.722,212.423,209.18849999999998,209.00725000000003,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
65,Concurrent Sorted Linked List,lf-cpp,12,4,,master,[],default,244.294,257.791,249.6445,249.9359166666667,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
66,Logistic Map Series,lf-cpp,12,2,,master,[],default,148.617,153.653,150.38049999999998,150.87733333333333,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Bank Transaction,lf-cpp,12,2,,master,[],default,115.539,123.748,118.4635,118.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
68,Cigarette Smokers,lf-cpp,12,2,,master,[],default,10.676,10.8722,10.7486,10.747891666666666,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
69,Ping Pong,lf-cpp,12,18,,master,[],default,173.552,186.779,180.4725,180.81241666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
